Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Charge Group Description,Arrest Type Code,Charge Description,Address,Cross Street,Location
190210405,4/25/2019,1800,2,Rampart,245,23,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210406,4/25/2019,1645,2,Rampart,245,58,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210407,4/25/2019,1600,2,Rampart,245,27,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210408,4/25/2019,1545,2,Rampart,245,35,F,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210409,4/25/2019,1555,2,Rampart,245,60,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210410,4/25/2019,1550,2,Rampart,245,45,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210411,4/25/2019,1910,2,Rampart,245,42,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210412,4/22/2019,1505,2,Rampart,245,63,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210413,4/23/2019,1845,2,Rampart,245,22,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210414,4/23/2019,1700,2,Rampart,245,41,F,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210415,4/23/2019,1910,2,Rampart,245,50,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210416,4/23/2019,1520,2,Rampart,245,27,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210417,4/23/2019,1530,2,Rampart,245,64,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210418,4/22/2019,1600,2,Rampart,245,43,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210419,4/22/2019,1735,2,Rampart,245,40,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210420,4/22/2019,1900,2,Rampart,245,36,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210421,4/22/2019,1615,2,Rampart,245,49,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210422,4/22/2019,1900,2,Rampart,245,45,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210441,4/27/2019,1220,2,Rampart,271,46,F,Narcotic Drug Laws,M,POSSESSION CONTROLLED SUBSTANCE,CARONDELET                   ST,7TH                          ST,"(34.0529, -118.2819)"
190210442,4/27/2019,1220,2,Rampart,271,24,M,Narcotic Drug Laws,M,POSSESSION CONTROLLED SUBSTANCE,CARONDELET                   ST,7TH                          ST,"(34.0529, -118.2819)"
190210451,4/27/2019,1440,2,Rampart,271,31,M,Liquor Laws,I,DRINKING ALCOHOL*******,OLYMPIC,PARK VIEW,"(34.0524, -118.2835)"
190210452,4/27/2019,1530,2,Rampart,256,29,M,Liquor Laws,I,DRINKING ALCOHOL*******,600    LITTLE                       ST,,"(34.0551, -118.2727)"
190210453,4/27/2019,1440,2,Rampart,271,36,M,Liquor Laws,I,DRINKING ALCOHOL*******,OLYMPIC,PARK VIEW,"(34.0524, -118.2835)"
190210454,4/27/2019,1530,2,Rampart,256,45,M,Liquor Laws,I,DRINKING ALCOHOL*******,600    LITTLE                       ST,,"(34.0551, -118.2727)"
190311713,4/25/2019,1615,3,Southwest,376,24,M,Liquor Laws,I,DRINKING ALCOHOL,DALTON                       AV,39TH                         ST,"(34.0155, -118.3034)"
190311714,4/27/2019,1900,3,Southwest,375,19,M,,I,,3900 S  WESTERN                      AV,,"(34.0146, -118.313)"
190311715,4/26/2019,1830,3,Southwest,375,19,M,,I,,3900 S  WESTERN                      AV,,"(34.0146, -118.313)"
190311716,4/26/2019,1840,3,Southwest,375,27,M,,I,,3900 S  WESTERN                      AV,,"(34.0146, -118.313)"
190311717,4/26/2019,1700,3,Southwest,318,45,M,,I,,1300 W  25TH                         ST,,"(34.0336, -118.289)"
190311718,4/26/2019,1700,3,Southwest,318,56,M,,I,,1300 W  25TH                         ST,,"(34.0336, -118.289)"
190311719,4/26/2019,1850,3,Southwest,375,20,M,,I,,3900 S  WESTERN                      AV,,"(34.0146, -118.313)"
190311720,4/25/2019,1930,3,Southwest,335,26,M,Liquor Laws,I,DRINKING ALCOHOL,2200 W  JEFFERSON                    BL,,"(34.0276, -118.3229)"
190311721,4/26/2019,1820,3,Southwest,375,19,M,,I,,3900 S  WESTERN                      AV,,"(34.0146, -118.313)"
190311722,4/26/2019,1820,3,Southwest,375,19,M,,I,,3900 S  WESTERN                      AV,,"(34.0146, -118.313)"
190409102,4/19/2019,2115,4,Hollenbeck,445,32,F,,M,,2000    MARENGO                      ST,,"(34.0571, -118.2084)"
190409105,4/26/2019,1640,4,Hollenbeck,426,26,F,Liquor Laws,M,SALE/ETC OF ALCOHOLIC BEVERAGE TO MINOR,4900    HUNTINGTON                   DR,,"(34.0867, -118.1768)"
190409217,4/27/2019,1645,4,Hollenbeck,421,68,M,Drunkeness,M,DRINKING IN PUBLIC***,BROADWAY,DALY                         ST,"(34.0736, -118.2156)"
190508502,4/12/2019,1410,5,Harbor,523,32,M,,M,,1500    JOHN S GIBSON                BL,,"(33.7677, -118.2813)"
190509057,4/26/2019,1400,5,Harbor,503,42,F,Disorderly Conduct,M,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,800 W  LOMITA                       BL,,"(33.7978, -118.2885)"
190610873,4/19/2019,920,6,Hollywood,666,32,M,,I,,1400 N  HUDSON                       AV,,"(34.0962, -118.3316)"
190610874,4/19/2019,915,6,Hollywood,666,27,M,,I,,1400 N  HUDSON                       AV,,"(34.0962, -118.3316)"
190610875,4/22/2019,910,6,Hollywood,668,42,M,,I,,WILTON,SUNSET                       BL,"(34.0981, -118.3136)"
190610897,4/24/2019,1200,6,Hollywood,648,37,M,,I,,1600 N  SAINT ANDREWS                PL,,"(34.0999, -118.3115)"
190610898,4/26/2019,810,6,Hollywood,666,24,M,,I,,1200    LODI                         PL,,"(34.0926, -118.3234)"
190610900,4/26/2019,805,6,Hollywood,666,31,M,,I,,1200    LODI                         PL,,"(34.0926, -118.3234)"
190610901,4/26/2019,100,6,Hollywood,647,28,F,Prostitution/Allied,M,PROSTITUTION,6200    HOLLYWOOD                    BL,,"(34.1017, -118.3245)"
190910031,4/16/2019,225,9,Van Nuys,941,25,M,Prostitution/Allied,M,PROSTITUTION,SEPULVEDA                    BL,ERWIN                        ST,"(34.1766, -118.4589)"
190910041,4/15/2019,1500,9,Van Nuys,943,30,M,Liquor Laws,M,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,TYRONE                       AV,BURBANK                      BL,"(34.1721, -118.4443)"
190910042,4/26/2019,1030,9,Van Nuys,933,35,M,Larceny,M,POSSESSION OF SHOPPING CART,14500    VICTORY                      BL,,"(34.1867, -118.4487)"
190910048,4/27/2019,1140,9,Van Nuys,984,42,M,Drunkeness,M,DRINKING IN PUBLIC***,VENTURA                      BL,CEDROS                       AV,"(34.1517, -118.4531)"
190910049,4/27/2019,1445,9,Van Nuys,941,29,M,Liquor Laws,M,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,15200    MARTHA                       ST,,"(34.1731, -118.464)"
190910111,4/27/2019,915,9,Van Nuys,915,25,M,Miscellaneous Other Violations,M,GIVE TOBACCO/SMOKG PARAPHERNALIA MINR <18,7100    VAN NUYS                     BL,,"(34.1996, -118.4487)"
190910112,4/27/2019,1030,9,Van Nuys,911,59,F,Miscellaneous Other Violations,M,GIVE TOBACCO/SMOKG PARAPHERNALIA MINR <18,6400    SEPULVEDA                    BL,,"(34.1938, -118.4702)"
190910113,4/27/2019,1105,9,Van Nuys,901,48,M,Miscellaneous Other Violations,M,GIVE TOBACCO/SMOKG PARAPHERNALIA MINR <18,15300    SHERMAN                      WY,,"(34.2085, -118.4698)"
191008749,4/21/2019,35,10,West Valley,1099,40,M,Disturbing the Peace,M,PROHIBITED NOISE,4200    VALLEY MEADOW                RD,,"(34.1471, -118.478)"
191008773,4/20/2019,1830,10,West Valley,1049,28,M,Driving Under Influence,M,DRUNK DRIVING ALCOHOL/DRUGS,BURBANK                      BL,WOODLEY                      AV,"(34.1717, -118.4757)"
191109653,4/27/2019,555,11,Northeast,1117,56,M,Narcotic Drug Laws,M,POSSESSION CNTL SUBSTANCE PARAPHERNALIA,YOSEMITE,EAGLE ROCK,"(34.1351, -118.2153)"
191109740,4/24/2019,2005,11,Northeast,1163,40,M,,M,,4700    SANTA MONICA                 BL,,"(34.0932, -118.2939)"
191109741,4/24/2019,2005,11,Northeast,1163,30,M,,M,,4700    SANTA MONICA                 BL,,"(34.0932, -118.2939)"
191109744,4/24/2019,2005,11,Northeast,1163,54,M,,M,,4700    SANTA MONICA                 BL,,"(34.0932, -118.2939)"
191212445,4/20/2019,615,12,77th Street,1249,28,F,,M,,69TH                         ST,FIGUEROA,"(33.9774, -118.2827)"
191212446,4/19/2019,1230,12,77th Street,1248,57,F,,M,,7100 S  HOOVER                       ST,,"(33.9792, -118.2893)"
191411252,4/24/2019,1600,14,Pacific,1412,27,F,,I,,PACIFIC                      AV,CLUBHOUSE                    AV,"(33.9933, -118.4765)"
191411253,4/24/2019,1625,14,Pacific,1431,36,M,,I,,PACIFIC                      AV,MARKET                       ST,"(33.9881, -118.4725)"
191411254,4/24/2019,1615,14,Pacific,1412,42,F,,I,,MARKET,PACIFIC,"(33.9933, -118.4765)"
191411255,4/24/2019,1700,14,Pacific,1431,52,M,,I,,WESTMINSTER,MAIN,"(33.9911, -118.471)"
191411256,4/26/2019,1405,14,Pacific,1411,33,M,,I,,PARK,OCEAN FRONT                  WK,"(33.9918, -118.4791)"
191411257,4/25/2019,700,14,Pacific,1412,31,M,,I,,OCEAN FRONT                  WK,NAVY,"(33.9958, -118.4815)"
191411261,4/25/2019,720,14,Pacific,1412,56,M,,I,,DUDLEY,OCEAN FRONT                  WK,"(33.994, -118.4798)"
191411262,4/25/2019,710,14,Pacific,1441,40,M,,I,,OCEAN FRONT                  WK,PARK,"(33.9843, -118.4643)"
191411263,4/25/2019,710,14,Pacific,1441,50,F,,I,,PARK,OCEAN FRONT                  WK,"(33.9843, -118.4643)"
191411265,4/25/2019,700,14,Pacific,1441,31,F,,I,,PARK,OCEAN FRONT                  WK,"(33.9843, -118.4643)"
191411266,4/25/2019,735,14,Pacific,1431,33,M,,I,,OCEAN FRONT                  WK,SUNSET,"(33.988, -118.4703)"
191510058,4/27/2019,1300,15,N Hollywood,1547,33,M,,M,,11600    BURBANK                      BL,,"(34.1722, -118.3844)"
191510088,4/25/2019,750,15,N Hollywood,1526,41,M,Miscellaneous Other Violations,M,DRIVE ON PRIVATE PROPERTY W/O CONSENT,6500    LANKERSHIM                   BL,,"(34.1887, -118.3877)"
191510089,4/25/2019,730,15,N Hollywood,1526,47,M,Miscellaneous Other Violations,M,DRIVE ON PRIVATE PROPERTY W/O CONSENT,LANKERSHIM                   BL,KITTRIDGE                    ST,"(34.1903, -118.3877)"
191709299,4/18/2019,1215,17,Devonshire,1752,33,F,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709300,4/17/2019,2300,17,Devonshire,1752,36,M,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709301,4/17/2019,2300,17,Devonshire,1752,70,M,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709302,4/17/2019,2300,17,Devonshire,1752,45,F,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709303,4/17/2019,2300,17,Devonshire,1752,30,F,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709304,4/18/2019,1215,17,Devonshire,1752,44,F,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709305,4/17/2019,2300,17,Devonshire,1752,47,F,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709306,4/17/2019,2300,17,Devonshire,1752,38,M,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709307,4/17/2019,2300,17,Devonshire,1752,45,F,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709308,4/17/2019,2300,17,Devonshire,1752,32,M,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709309,4/17/2019,2300,17,Devonshire,1752,30,F,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709310,4/18/2019,150,17,Devonshire,1752,40,F,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709311,4/18/2019,1335,17,Devonshire,1752,36,M,Gambling,M,PRES AT GAMBLING,10100    CANOGA                       AV,,"(34.2536, -118.5973)"
191709373,4/27/2019,1450,17,Devonshire,1729,27,M,Larceny,M,SHOPLIFTING,11100    BALBOA                       BL,,"(34.2757, -118.5144)"
191909543,4/18/2019,230,19,Mission,1983,29,F,,M,,8400    SEPULVEDA                    BL,,"(34.2231, -118.4677)"
191909544,4/18/2019,340,19,Mission,1983,25,M,Prostitution/Allied,M,LOITERING FOR PURPOSES OF PROSTITUTION,SEPULVEDA                    BL,CHASE                        ST,"(34.2247, -118.4677)"
191909558,4/25/2019,1215,19,Mission,1921,27,M,,M,,13000    SAN FERNANDO                 RD,,"(34.3064, -118.4685)"
191909576,4/14/2019,1400,19,Mission,1984,30,F,Miscellaneous Other Violations,M,ENTER/REMAIN ON POSTED PROPERTY,ROSCOE,NOBLE,"(34.2265, -118.4565)"
191909577,4/14/2019,1410,19,Mission,1984,29,M,Miscellaneous Other Violations,M,ENTER/REMAIN ON POSTED PROPERTY,ROSCOE,NOBLE,"(34.2265, -118.4565)"
191909578,4/16/2019,2145,19,Mission,1971,18,M,Liquor Laws,M,MINOR POSSESS ALCOHOL,9000    ORION                        AV,,"(34.2338, -118.472)"
191909579,4/18/2019,2120,19,Mission,1966,35,M,Drunkeness,M,DRINKING IN PUBLIC***,VAN NUYS,PLUMMER,"(34.2427, -118.4502)"
191909581,4/18/2019,2020,19,Mission,1966,32,M,Drunkeness,M,DRINKING IN PUBLIC***,PLUMMER,VAN NUYS,"(34.2427, -118.4502)"
191909582,4/18/2019,2100,19,Mission,1966,32,M,Drunkeness,M,DRINKING IN PUBLIC***,PLUMMER,VAN NUYS,"(34.2427, -118.4502)"
191909583,4/18/2019,2051,19,Mission,1966,29,M,Drunkeness,M,DRINKING IN PUBLIC***,VAN NUYS,PLUMMER,"(34.2427, -118.4502)"
191909584,4/18/2019,1845,19,Mission,1998,42,M,Gambling,M,PRES AT GAMBLING,ARMINTA,VAN NUYS,"(34.2134, -118.4488)"
191909585,4/18/2019,1845,19,Mission,1998,54,M,Gambling,M,PRES AT GAMBLING,ARMINTA,VAN NUYS,"(34.2134, -118.4488)"
191909586,4/26/2019,2120,19,Mission,1983,43,M,Narcotic Drug Laws,M,POSSESSION CNTL SUBSTANCE PARAPHERNALIA,SEPULVEDA,ROSCOE,"(34.2214, -118.4677)"
191909588,4/26/2019,1720,19,Mission,1982,48,M,Drunkeness,M,DRINKING IN PUBLIC***,PARTHENIA,COLUMBUS,"(34.2288, -118.4655)"
191909589,4/26/2019,1825,19,Mission,1985,49,M,Drunkeness,M,DRINKING IN PUBLIC***,VAN NUYS,ROSCOE,"(34.2216, -118.4488)"
191909590,4/25/2019,2145,19,Mission,1984,21,M,Drunkeness,M,DRINKING IN PUBLIC***,KESTER,PARTHENIA,"(34.2282, -118.4575)"
191909591,4/25/2019,2145,19,Mission,1984,21,M,Drunkeness,M,DRINKING IN PUBLIC***,KESTER,PARTHENIA,"(34.2282, -118.4575)"
191909592,4/26/2019,1925,19,Mission,1963,27,M,,M,,VAN NUYS,PLUMMER,"(34.2427, -118.4502)"
191909684,4/23/2019,150,19,Mission,1983,18,F,Sex (except rape/prst),M,SOLICIT/ENGAGE LEWD ACT IN PUBLIC VIEW,8400    SEPULVEDA                    BL,,"(34.2231, -118.4677)"
191909685,4/23/2019,150,19,Mission,1983,22,M,Sex (except rape/prst),M,SOLICIT/ENGAGE LEWD ACT IN PUBLIC VIEW,8400    SEPULVEDA                    BL,,"(34.2231, -118.4677)"
192109242,4/22/2019,1510,21,Topanga,2155,39,M,Liquor Laws,M,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,6000    TOPANGA CANYON               BL,,"(34.1828, -118.6102)"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5213460,1/24/2018,1930,6,Hollywood,668,29,M,Fraud/Embezzlement,F,GET CREDIT/ETC OTHER'S ID,ST ANDREWS,FOUNTAIN,"(34.0949, -118.3109)"
5257944,3/15/2018,310,7,Wilshire,743,33,F,Homicide,F,VEH MANSLAUGHTR/OPER VESSEL DUI & DUR FEL,OLYMPIC,MASSELIN,"(34.0574, -118.3547)"
5328813,6/1/2018,1800,3,Southwest,356,44,F,Narcotic Drug Laws,F,TRANSPORT/SELL CONTROLLED SUBSTANCE,1600 W  36TH                         PL,,"(34.0219, -118.3061)"
5336331,6/10/2018,200,13,Newton,1364,23,M,Weapon (carry/poss),F,CARRYING CONCEALED WEAPON UPON PERSON,1200 E  50TH                         ST,,"(33.998, -118.2543)"
5360731,7/7/2018,2330,18,Southeast,1832,32,M,Weapon (carry/poss),F,POSS F/ARM BY CONVICTED FELON/ADDICT/ETC,10700 S  MAIN                         ST,,"(33.9392, -118.2739)"
5404690,8/25/2018,1850,18,Southeast,1832,39,M,Weapon (carry/poss),F,POSS F/ARM BY CONVICTED FELON/ADDICT/ETC,10600 S  MAIN                         ST,,"(33.9402, -118.2739)"
5406551,8/27/2018,2300,18,Southeast,1842,31,M,Weapon (carry/poss),F,CARRY CONCEALED WEAPON IN VEHICLE,109TH                        ST,GRAND,"(33.9374, -118.2805)"
5415136,3/10/2019,330,19,Mission,1915,30,M,Receive Stolen Property,F,RECEIVING KNOWN STOLEN PROPERTY >$950,12700    DE HAVEN                     AV,,"(34.3035, -118.4463)"
5415164,3/31/2019,200,13,Newton,1307,26,M,Aggravated Assault,F,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,1000 E  7TH                          ST,,"(34.0385, -118.2437)"
5419122,9/10/2018,1620,12,77th Street,1251,57,M,Other Assaults,F,TERRORIZE CAUSING FEAR,3100 W  71ST                         ST,,"(33.9757, -118.3265)"
5430543,9/23/2018,1830,13,Newton,1321,25,M,Miscellaneous Other Violations,F,VANDALISM W/LOSS VALUED EQ OR > $400,23RD,TRINITY,"(34.0289, -118.2686)"
5449454,10/15/2018,2330,1,Central,157,43,M,Vehicle Theft,F,TAKE VEHICLE W/O OWNER'S CONSENT,SPRING,5TH,"(34.0416, -118.244)"
192109205,4/25/2019,2305,21,Topanga,2143,34,M,Larceny,M,PETTY THEFT,6600    FALLBROOK                    AV,,"(34.1883, -118.6274)"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5415167,4/27/2019,1840,13,Newton,1317,34,M,Miscellaneous Other Violations,F,KIDNAPPING FOR RANSOM,1500 E  WASHINGTON                   BL,,"(34.022, -118.246)"
5449463,10/15/2018,2330,1,Central,154,32,M,Vehicle Theft,F,TAKE VEHICLE W/O OWNER'S CONSENT,SPRING                       ST,6TH,"(34.046, -118.2509)"
5452727,10/19/2018,1935,1,Central,100,26,M,Vehicle Theft,F,TAKE VEHICLE W/O OWNER'S CONSENT,8TH                          ST,LOS ANGELES,"(34.0413, -118.2517)"
5456681,10/25/2018,30,6,Hollywood,643,48,M,Aggravated Assault,F,"ADW, NOT FIREARM, W/GBI",VINE,HOLLYWOOD,"(34.1007, -118.3494)"
5460361,10/29/2018,1550,12,77th Street,1208,32,F,Vehicle Theft,F,TAKE VEHICLE W/O OWNER'S CONSENT,HOOVER,VERNON,"(34.0027, -118.2871)"
5464308,11/3/2018,350,1,Central,159,27,M,Vehicle Theft,F,TAKE VEHICLE W/O OWNER'S CONSENT,7TH                          ST,ALAMEDA,"(34.035, -118.2386)"
5471809,11/12/2018,2315,1,Central,138,20,M,Vehicle Theft,F,TAKE VEH:NO CNSNT:SPEC PR,4TH                          ST,TOWNE,"(34.0444, -118.2407)"
5476070,11/18/2018,300,1,Central,185,25,M,Vehicle Theft,F,TAKE VEHICLE W/O OWNER'S CONSENT,11TH                         ST,HILL                         ST,"(34.0402, -118.2598)"
5476213,11/18/2018,1000,12,77th Street,1204,42,M,Other Assaults,F,TERRORIZE CAUSING FEAR,1100 W  47TH                         ST,,"(34.0006, -118.2937)"
5477205,11/19/2018,1600,13,Newton,1347,19,M,Weapon (carry/poss),F,CARRY LOADED F/ARM PRSON/HEH PUBLIC PLACE,45TH,STANTON,"(34.0096, -118.244)"
5477482,11/20/2018,705,1,Central,134,35,F,Miscellaneous Other Violations,F,DEFACE PROPERTY,4TH                          ST,BROADWAY,"(34.0495, -118.2494)"
5478144,11/21/2018,811,12,77th Street,1208,47,M,Aggravated Assault,F,"ADW, NOT FIREARM, W/GBI",51ST,FIGUEROA,"(33.9965, -118.2827)"
5478957,11/22/2018,940,8,West LA,827,21,F,Driving Under Influence,F,DUI ALCOHOL CAUSING INJURY,SAN VICENTE,BARRINGTON,"(34.0536, -118.4655)"
5482231,11/26/2018,2320,20,Olympic,2019,18,M,Robbery,F,ROBBERY,3400 W  3RD                          ST,,"(34.0728, -118.2878)"
